Datetime,Water Level (m)
2023-10-26 06:00:00,-0.2240026
2023-10-26 07:00:00,-0.62481296
2023-10-26 08:00:00,-0.9226791
2023-10-26 09:00:00,-1.0383136
2023-10-26 10:00:00,-0.7117
2023-10-26 11:00:00,-0.15653922
2023-10-26 12:00:00,0.43711108
2023-10-26 13:00:00,0.9693818
2023-10-26 14:00:00,1.2703742
2023-10-26 15:00:00,1.2965422
2023-10-26 16:00:00,1.0334638
2023-10-26 17:00:00,0.5414973
2023-10-26 18:00:00,0.04249405
2023-10-26 19:00:00,-0.40978682
2023-10-26 20:00:00,-0.76205724
2023-10-26 21:00:00,-0.9445641
2023-10-26 22:00:00,-0.8184282
2023-10-26 23:00:00,-0.28251627
2023-10-27 00:00:00,0.2568943
2023-10-27 01:00:00,0.82949626
2023-10-27 02:00:00,1.2001387
2023-10-27 03:00:00,1.3003205
2023-10-27 04:00:00,1.1080942
2023-10-27 05:00:00,0.623179
2023-10-27 06:00:00,0.10171914
2023-10-27 07:00:00,-0.39657417
2023-10-27 08:00:00,-0.80808586
2023-10-27 09:00:00,-1.1520605
2023-10-27 10:00:00,-1.1037817
2023-10-27 11:00:00,-0.5749909
2023-10-27 12:00:00,0.011310204
2023-10-27 13:00:00,0.67751557
2023-10-27 14:00:00,1.1818432
2023-10-27 15:00:00,1.4408691
2023-10-27 16:00:00,1.4017992
2023-10-27 17:00:00,1.0220137
2023-10-27 18:00:00,0.47399196
2023-10-27 19:00:00,-0.06370819
2023-10-27 20:00:00,-0.520731
2023-10-27 21:00:00,-0.899353
2023-10-27 22:00:00,-1.1068524
2023-10-27 23:00:00,-0.80767584
2023-10-28 00:00:00,-0.20609553
2023-10-28 01:00:00,0.38155767
2023-10-28 02:00:00,0.97772616
2023-10-28 03:00:00,1.2919384
2023-10-28 04:00:00,1.2937564
2023-10-28 05:00:00,0.97548085
2023-10-28 06:00:00,0.4350486
2023-10-28 07:00:00,-0.09941085
2023-10-28 08:00:00,-0.58267754
2023-10-28 09:00:00,-0.97221035
2023-10-28 10:00:00,-1.2021219
2023-10-28 11:00:00,-0.99556327
2023-10-28 12:00:00,-0.38314778
2023-10-28 13:00:00,0.23603275
2023-10-28 14:00:00,0.91313887
2023-10-28 15:00:00,1.372641
2023-10-28 16:00:00,1.5374444
2023-10-28 17:00:00,1.3865201
2023-10-28 18:00:00,0.8732957
2023-10-28 19:00:00,0.3047361
2023-10-28 20:00:00,-0.22446364
2023-10-28 21:00:00,-0.66231394
2023-10-28 22:00:00,-0.99066913
2023-10-28 23:00:00,-1.0858567
2023-10-29 00:00:00,-0.64985573
2023-10-29 01:00:00,-0.046514556
2023-10-29 02:00:00,0.5936533
2023-10-29 03:00:00,1.0933423
2023-10-29 04:00:00,1.2973765
2023-10-29 05:00:00,1.1921536
2023-10-29 06:00:00,0.7469029
2023-10-29 07:00:00,0.19800514
2023-10-29 08:00:00,-0.3203077
2023-10-29 09:00:00,-0.75821674
2023-10-29 10:00:00,-1.1842743
2023-10-29 11:00:00,-1.2652373
2023-10-29 12:00:00,-0.76725644
2023-10-29 13:00:00,-0.15704365
2023-10-29 14:00:00,0.49904114
2023-10-29 15:00:00,1.1085663
2023-10-29 16:00:00,1.4773506
2023-10-29 17:00:00,1.5269576
2023-10-29 18:00:00,1.2307633
2023-10-29 19:00:00,0.66751707
2023-10-29 20:00:00,0.1099014
2023-10-29 21:00:00,-0.39376226
2023-10-29 22:00:00,-0.7927527
2023-10-29 23:00:00,-1.1488826
2023-10-30 00:00:00,-0.99103135
2023-10-30 01:00:00,-0.4049891
2023-10-30 02:00:00,0.1525141
2023-10-30 03:00:00,0.75173694
2023-10-30 04:00:00,1.1262424
2023-10-30 05:00:00,1.20879
2023-10-30 06:00:00,0.9742034
2023-10-30 07:00:00,0.48079735
2023-10-30 08:00:00,-0.029254679
2023-10-30 09:00:00,-0.5036888
2023-10-30 10:00:00,-0.9064003
2023-10-30 11:00:00,-1.1673415
2023-10-30 12:00:00,-1.11234
2023-10-30 13:00:00,-0.49585095
2023-10-30 14:00:00,0.08014348
2023-10-30 15:00:00,0.7525431
2023-10-30 16:00:00,1.2528086
2023-10-30 17:00:00,1.4822675
2023-10-30 18:00:00,1.4032679
2023-10-30 19:00:00,0.97895664
2023-10-30 20:00:00,0.43514106
2023-10-30 21:00:00,-0.087241046
2023-10-30 22:00:00,-0.5254622
2023-10-30 23:00:00,-0.87721884
2023-10-31 00:00:00,-1.096655
2023-10-31 01:00:00,-0.75918376
2023-10-31 02:00:00,-0.17174438
2023-10-31 03:00:00,0.35971284
2023-10-31 04:00:00,0.85399586
2023-10-31 05:00:00,1.0774145
2023-10-31 06:00:00,1.0242518
2023-10-31 07:00:00,0.67733896
2023-10-31 08:00:00,0.20239139
2023-10-31 09:00:00,-0.25933552
2023-10-31 10:00:00,-0.66369843
2023-10-31 11:00:00,-0.9681267
2023-10-31 12:00:00,-1.0996054
2023-10-31 13:00:00,-0.7942935
2023-10-31 14:00:00,-0.2293818
2023-10-31 15:00:00,0.3465796
2023-10-31 16:00:00,0.9316319
2023-10-31 17:00:00,1.2946695
2023-10-31 18:00:00,1.3616661
2023-10-31 19:00:00,1.1556247
2023-10-31 20:00:00,0.67963564
2023-10-31 21:00:00,0.18321387
2023-10-31 22:00:00,-0.28126583
2023-10-31 23:00:00,-0.63435954
2023-11-01 00:00:00,-0.87428707
2023-11-01 01:00:00,-0.8651184
2023-11-01 02:00:00,-0.45967105
2023-11-01 03:00:00,-0.0005875753
2023-11-01 04:00:00,0.48571602
2023-11-01 05:00:00,0.82925844
2023-11-01 06:00:00,0.9288166
